miasto,stacja,wskaznik,data,wartosc
Kraków,"Kraków, Aleja Krasińskiego",pył zawieszony PM10,2026-07-10 04:00:00,14.1
Kraków,"Kraków, Aleja Krasińskiego",pył zawieszony PM10,2026-07-10 03:00:00,16.0
Kraków,"Kraków, Aleja Krasińskiego",pył zawieszony PM10,2026-07-10 02:00:00,15.7
Kraków,"Kraków, Aleja Krasińskiego",pył zawieszony PM10,2026-07-10 01:00:00,16.2
Kraków,"Kraków, Aleja Krasińskiego",pył zawieszony PM10,2026-07-10 00:00:00,17.0
Kraków,"Kraków, Aleja Krasińskiego",pył zawieszony PM10,2026-07-09 23:00:00,18.2
Kraków,"Kraków, Aleja Krasińskiego",pył zawieszony PM10,2026-07-09 22:00:00,16.0
Kraków,"Kraków, Aleja Krasińskiego",pył zawieszony PM10,2026-07-09 21:00:00,13.1
Kraków,"Kraków, Aleja Krasińskiego",pył zawieszony PM10,2026-07-09 20:00:00,13.7
Kraków,"Kraków, Aleja Krasińskiego",pył zawieszony PM10,2026-07-09 19:00:00,16.5
Kraków,"Kraków, Aleja Krasińskiego",pył zawieszony PM10,2026-07-09 18:00:00,10.1
Kraków,"Kraków, Aleja Krasińskiego",pył zawieszony PM2.5,2026-07-10 13:00:00,4.4
Kraków,"Kraków, Aleja Krasińskiego",pył zawieszony PM2.5,2026-07-10 12:00:00,4.7
Kraków,"Kraków, Aleja Krasińskiego",pył zawieszony PM2.5,2026-07-10 11:00:00,5.6
Kraków,"Kraków, Aleja Krasińskiego",pył zawieszony PM2.5,2026-07-10 10:00:00,8.7
Kraków,"Kraków, Aleja Krasińskiego",pył zawieszony PM2.5,2026-07-10 09:00:00,12.1
Kraków,"Kraków, Aleja Krasińskiego",pył zawieszony PM2.5,2026-07-10 08:00:00,15.3
Kraków,"Kraków, Aleja Krasińskiego",pył zawieszony PM2.5,2026-07-10 07:00:00,14.2
Kraków,"Kraków, Aleja Krasińskiego",pył zawieszony PM2.5,2026-07-10 06:00:00,12.4
Kraków,"Kraków, Aleja Krasińskiego",pył zawieszony PM2.5,2026-07-10 05:00:00,12.0
Kraków,"Kraków, Aleja Krasińskiego",pył zawieszony PM2.5,2026-07-10 04:00:00,9.3
Kraków,"Kraków, Aleja Krasińskiego",pył zawieszony PM2.5,2026-07-10 03:00:00,10.4
Kraków,"Kraków, Aleja Krasińskiego",pył zawieszony PM2.5,2026-07-10 02:00:00,10.2
Kraków,"Kraków, Aleja Krasińskiego",pył zawieszony PM2.5,2026-07-10 01:00:00,9.6
Kraków,"Kraków, Aleja Krasińskiego",pył zawieszony PM2.5,2026-07-10 00:00:00,8.7
